tof,distance,polar,azimuthal,weight
4097.30029297,3.41273,2.2684,-0.545207,0.0151692
4018.69995117,3.24327,2.30471,-0.358702,0.000296788
3911.90014648,3.47074,2.23236,-0.578722,2.38332e-09
3871.10009766,3.34292,2.29399,-0.484696,0.128951
4090.80004883,3.37635,2.27747,-0.513795,0.00497821
3884.10009766,3.28179,2.2542,-0.394929,4.477e-13
3870.30004883,3.28582,2.30123,-0.418563,1.68687e-07
3885.69995117,3.47139,2.25432,-0.590165,5.57789e-10
3875.5,3.26803,2.3144,-0.397848,1.36116e-10
4092.19995117,3.32274,2.27541,-0.455097,0.0067834
3837.90014648,3.23246,2.32457,-0.345557,8.70797e-10
3854.80004883,3.31887,2.3004,-0.459394,4.263e-07
3868.60009766,3.22414,2.3185,-0.330355,0.010205
4093.60009766,3.36141,2.27344,-0.496856,7.16055e-12
4114.5,3.46866,2.21108,-0.565284,7.1372e-07
4085.5,3.44102,2.23172,-0.553139,0.0190445
4087.30004883,3.31001,2.26288,-0.434769,0.00914743
3877.69995117,3.28179,2.31055,-0.415785,4.07014e-05
4105.10009766,3.49157,2.22051,-0.58923,1.90458e-09
4102.0,3.2913,2.30792,-0.427587,0.00938898
3877.69995117,3.31234,2.27016,-0.4407,0.0842547
3900.40014648,3.38479,2.2447,-0.507607,5.81063e-10
4012.19995117,3.23638,2.32344,-0.351819,1.15167e-06
4070.5,3.25277,2.26149,-0.357303,0.044213
3951.5,3.18994,2.31989,-0.264044,0.00496047
4093.10009766,3.30609,2.30387,-0.445055,0.0266548
4119.39990234,3.43497,2.26299,-0.562997,0.000913338
3853.60009766,3.23921,2.28114,-0.344658,0.0059603
4102.30029297,3.4812,2.22278,-0.582146,0.177122
3875.5,3.37863,2.26143,-0.509339,0.00368616
4031.40014648,3.29235,2.28328,-0.421086,1.51803e-09
4140.30029297,3.51604,2.22955,-0.613188,0.00421556
4118.89990234,3.47544,2.26081,-0.596499,0.0414301
4074.60009766,3.37702,2.28511,-0.517411,0.000934721
4026.60009766,3.26959,2.30569,-0.397837,0.000843502
3975.5,3.19768,2.29236,-0.273725,5.35505e-06
3923.60009766,3.45859,2.26484,-0.584269,0.0877827
3855.90014648,3.26734,2.26576,-0.38046,6.57159e-08
3981.10009766,3.20302,2.32463,-0.292139,0.0784324
3878.60009766,3.37863,2.25377,-0.505847,8.11497e-06
3853.5,3.20636,2.32366,-0.298573,0.359244
3909.69995117,3.46398,2.24123,-0.577656,0.356107
3852.90014648,3.1957,2.33542,-0.278163,0.000794322
3875.69995117,3.26959,2.26518,-0.383365,5.02886e-12
3884.19995117,3.32674,2.24325,-0.445128,0.00974282
3852.69995117,3.2115,2.28034,-0.296492,0.0163716
3867.60009766,3.24304,2.28828,-0.353309,3.05608e-07
4122.60009766,3.51669,2.24387,-0.621045,1.6479e-06
3843.10009766,3.19345,2.28521,-0.262212,0.316415
3882.60009766,3.30041,2.25743,-0.420499,0.000852755
3902.19995117,3.40895,2.24656,-0.5317,0.000894095
3927.30004883,3.49135,2.23503,-0.596819,0.0843376
4094.40014648,3.36828,2.28736,-0.509342,0.149173
3994.19995117,3.22555,2.28478,-0.323414,1.13775e-12
3955.5,3.20758,2.28965,-0.292536,0.00107673
3956.19995117,3.2122,2.27197,-0.294258,0.0127798
4096.30029297,3.40718,2.22459,-0.518639,1.8747e-12
3906.69995117,3.47074,2.23969,-0.582493,0.232748
4101.10009766,3.44801,2.25985,-0.572988,0.0024053
3980.5,3.20977,2.32266,-0.304981,8.40577e-05
3852.90014648,3.27414,2.30443,-0.403797,0.526198
3948.60009766,3.19041,2.28603,-0.255908,0.0109733
4096.80029297,3.36694,2.2643,-0.498738,0.000910383
4101.39990234,3.28537,2.26911,-0.406435,0.00972713
3853.90014648,3.2122,2.33051,-0.310621,0.000472355
3899.60009766,3.35834,2.2587,-0.487296,0.015533
3882.10009766,3.29373,2.30725,-0.430518,0.0634085
3884.0,3.31751,2.26885,-0.446294,0.0031949
3863.40014648,3.19111,2.3368,-0.268304,0.0788924
3894.60009766,3.40036,2.27145,-0.534864,2.29965e-10
3885.40014648,3.32274,2.27541,-0.455097,0.139023
4075.90014648,3.32561,2.259,-0.451421,0.0181521
4129.10009766,3.51604,2.22237,-0.609324,0.0628748
3965.19995117,3.20589,2.29011,-0.289415,0.00235002
4089.30004883,3.25489,2.26095,-0.360237,0.0601397
4081.0,3.35055,2.24522,-0.472617,1.64365e-11
3910.40014648,3.47096,2.22503,-0.574995,0.001262
4019.60009766,3.22792,2.31742,-0.336631,2.11164e-05
4117.10009766,3.49834,2.23347,-0.601534,0.220993
3867.69995117,3.241,2.29705,-0.352946,0.125155
4089.10009766,3.43131,2.23392,-0.545719,0.00231897
3868.5,3.30725,2.27146,-0.435076,5.62664e-07
3889.0,3.44429,2.23098,-0.555597,0.0512994
3912.10009766,3.48464,2.24386,-0.595919,0.0395027
4103.10009766,3.28753,2.28455,-0.415312,0.00483538
3839.19995117,3.20302,2.28262,-0.280994,0.0691004
4048.10009766,3.26579,2.31503,-0.394832,0.000140154
4104.5,3.36428,2.24958,-0.489244,4.14542e-06
3915.60009766,3.47479,2.25352,-0.592588,0.202358
3844.0,3.23107,2.29979,-0.337642,1.42088e-07
