tof,distance,polar,azimuthal,weight
4125.70019531,3.48507,2.25113,-0.599808,0.00301516
3875.69995117,3.28064,2.29448,-0.409617,3.37996e-10
3867.69995117,3.32561,2.259,-0.451421,4.84337e-08
3878.60009766,3.31257,2.28599,-0.447103,0.0456205
3958.60009766,3.19429,2.31012,-0.271612,0.000816657
4094.0,3.31887,2.3004,-0.459394,0.00390889
4080.60009766,3.28753,2.27653,-0.412286,0.0229338
3874.60009766,3.35055,2.24522,-0.472617,0.00318994
3983.30004883,3.2108,2.29708,-0.301061,8.32296e-11
4087.0,3.43777,2.23246,-0.550673,3.09198e-06
3884.60009766,3.32012,2.26819,-0.44908,0.00600051
3867.0,3.26959,2.30569,-0.397837,0.00761597
4087.30004883,3.26441,2.28258,-0.383148,4.16648e-07
3873.10009766,3.29616,2.25066,-0.411911,0.01018
3877.40014648,3.30793,2.29526,-0.444657,0.000227284
4074.60009766,3.3395,2.28692,-0.478464,0.0371249
3882.19995117,3.34567,2.23875,-0.464035,0.0580087
3894.30004883,3.32034,2.28396,-0.455571,0.00429163
4111.10009766,3.49264,2.25675,-0.608529,9.9047e-06
3889.19995117,3.35901,2.24321,-0.480607,4.17068e-05
4071.80004883,3.35834,2.2587,-0.487296,2.91022e-07
4078.10009766,3.2783,2.29511,-0.40668,0.000177102
3883.69995117,3.34988,2.26077,-0.479231,0.0407223
3867.10009766,3.20538,2.33253,-0.297715,0.00116139
3877.40014648,3.36694,2.2643,-0.498738,0.0267591
3905.60009766,3.43175,2.22645,-0.542138,4.5435e-05
3939.69995117,3.20046,2.27508,-0.272667,0.00256652
3863.30004883,3.28537,2.29321,-0.415467,0.00128385
4052.19995117,3.2542,2.26913,-0.362891,0.0245787
3879.5,3.30109,2.30523,-0.439264,0.0013329
3894.90014648,3.45418,2.22876,-0.562927,0.0422691
3896.80004883,3.34455,2.25435,-0.470514,2.29172e-09
4101.20019531,3.32274,2.26753,-0.451859,3.56933e-11
3873.60009766,3.26023,2.30003,-0.382923,0.00135088
3879.10009766,3.46801,2.21843,-0.568919,0.0412132
4073.60009766,3.38457,2.25998,-0.514593,0.0107031
4068.10009766,3.36828,2.23347,-0.485213,0.00798564
3897.40014648,3.42217,2.26609,-0.552879,0.0911406
3910.19995117,3.45418,2.22876,-0.562927,1.00018e-10
3979.19995117,3.22937,2.28376,-0.329515,6.4672e-11
4073.40014648,3.32606,2.29045,-0.464516,0.126889
3883.5,3.4281,2.23465,-0.543231,0.00023335
3977.80004883,3.22044,2.27796,-0.311845,2.15438e-11
3857.0,3.23522,2.30695,-0.346423,0.000317611
3863.69995117,3.30495,2.26415,-0.42916,0.87834
4099.60009766,3.47139,2.25432,-0.590165,0.300259
4109.39990234,3.46063,2.23464,-0.57148,0.00016772
4078.60009766,3.28179,2.31055,-0.415785,0.0328385
4083.0,3.46193,2.21253,-0.560497,4.02035e-10
4088.90014648,3.28299,2.26972,-0.403562,0.00136676
3886.90014648,3.3889,2.28208,-0.528055,0.000113546
3849.69995117,3.35618,2.24389,-0.477951,8.54072e-09
3862.90014648,3.3334,2.27269,-0.466191,0.0805017
3893.19995117,3.40961,2.23145,-0.524631,2.11132e-05
3982.10009766,3.22745,2.30914,-0.334033,7.13523e-09
3918.30004883,3.44801,2.22283,-0.554422,0.000161332
4011.60009766,3.27028,2.31377,-0.400857,0.00629149
4088.60009766,3.43777,2.23246,-0.550673,0.000123162
3957.19995117,3.2108,2.30544,-0.303397,0.0230318
3894.0,3.37118,2.2328,-0.487828,0.037768
4094.90014648,3.29062,2.29993,-0.424415,0.00145023
3845.40014648,3.2108,2.30544,-0.303397,7.39937e-06
3894.19995117,3.3936,2.25779,-0.522417,1.0103e-10
4114.5,3.48917,2.25757,-0.606139,0.0223468
3863.40014648,3.27117,2.2808,-0.391964,0.48057
3899.60009766,3.41207,2.24582,-0.534244,0.0200864
3964.80004883,3.20138,2.28306,-0.277877,0.00060182
4105.80029297,3.46398,2.24123,-0.577656,3.34085e-05
3846.60009766,3.29304,2.29927,-0.42733,0.0370897
4113.89990234,3.50538,2.2319,-0.606218,3.59249e-09
3900.90014648,3.40299,2.26314,-0.533794,0.106957
3947.10009766,3.19453,2.31856,-0.273762,9.92068e-07
3854.80004883,3.27368,2.27211,-0.392001,2.3855e-09
4082.69995117,3.41835,2.25186,-0.542937,0.00495398
3865.19995117,3.19429,2.31012,-0.271612,0.00298538
3858.60009766,3.2542,2.26913,-0.362891,3.07628e-06
3967.10009766,3.20255,2.29102,-0.283156,1.0597e-08
4101.80029297,3.44146,2.22428,-0.54953,0.00519051
3864.30004883,3.19192,2.28562,-0.259063,0.00228
4008.60009766,3.23302,2.29099,-0.338135,0.00315812
3852.0,3.2417,2.27237,-0.345085,0.0881707
4074.40014648,3.35968,2.28959,-0.5012,3.55655e-08
3971.30004883,3.21572,2.32947,-0.317034,0.00319199
4083.80004883,3.2811,2.30252,-0.412679,0.00146784
4072.69995117,3.27807,2.27899,-0.400716,0.000830765
3870.60009766,3.29794,2.29795,-0.433137,0.0375065
4116.89990234,3.50206,2.2399,-0.60776,2.98904e-13
3900.69995117,3.44407,2.24583,-0.562962,0.0617819
4087.90014648,3.43777,2.23246,-0.550673,0.0318636
3960.10009766,3.20091,2.31671,-0.286638,4.45161e-11
3879.5,3.28514,2.28518,-0.412415,0.00103306
3860.5,3.2451,2.29593,-0.359019,0.0324456
3972.10009766,3.22044,2.27796,-0.311845,0.0193276
4089.5,3.38779,2.244,-0.510201,1.70606e-05
3872.5,3.26665,2.2901,-0.38897,0.00450222
4094.60009766,3.43497,2.26299,-0.562997,0.00178851
3953.69995117,3.19975,2.2835,-0.274755,0.000203315
3830.0,3.22792,2.31742,-0.336631,0.439492
3919.19995117,3.50602,2.2463,-0.614036,0.102878
4116.5,3.50913,2.21671,-0.60089,6.88527e-05
3876.0,3.33883,2.26351,-0.468373,0.0103207
